"app name","APK","occurrences"
"imgur: funny memes & gif maker","com.imgur.mobile","2409"
"tile master® - triple match","com.tilemaster.puzzle.block.match","2409"
"parking jam 3d - car out","parking.jam3d.traffic.jam.games.car.puzzle","2394"
"solitaire - classic card games","solitaire.classic.hungrystudio.free.klondike.card.patience","2390"
"word search explorer: fun game","1602508478","2385"
"hexa stack: sorting puzzle","com.fc.hexa.sort.color.sorting.brain.puzzle","2384"
"sudoku - classic math games","sudoku.puzzle.brain.games.number.puzzles.free","2364"
"hero adventure: survivor rpg","com.pgstudio.heroadventure","2349"
"---","com.ig.bus.out","2340"
"block puzzle sudoku","com.gafv.puzzle.game.classic.blockpuzzle.wood","2339"
"color master - color by number","color.by.number.coloring.paint.puzzle.pixel.art.drawing.painting.games.kids.adults.fun.pictures","2339"
"onefootball - soccer scores","de.motain.iliga","2327"
"hexa puzzle game: color sort","com.hexa.master.puzzle.match3d","2324"
"hay day","com.supercell.hayday","2321"
"woodle screw jam: nuts & bolts","6642698438","2314"
"mr and mrs shooter: city hunt","6670426445","2312"
"blockin’ color","com.hitapps.blockincolor","2305"
"sound recorder plus: voice rec","com.digitalchemy.recorder","2305"
"vita mahjong for seniors","com.vitastudio.mahjong","2305"
"daily bubble","com.bigcake.android.bubbledaily","2300"
"kik","kik.android","2277"
"ellen's garden restoration","com.storm8.ellen","2269"
"harvest.io – 3d farming arcade","com.harvest.io","2258"
"snake run race・3d running game","com.snakeattack.game","2255"
"clusterduck","com.pikpok.wtd.play","2253"
"dream hex: asmr 3d merge game","com.hexa.sort.puzzle.stack.color.game","2242"
"word garden : crosswords","1291854522","2230"
"find hidden objects - spot it!","6474133872","2226"
"waterpark boys","com.albus.waterparkboys","2223"
"associations - word games","com.hitapps.associations","2219"
"seat jam 3d","com.magicgs.seatjam","2219"
"pixel art － color by number","1274972321","2205"
"tricky track 3d","1533442608","2192"
"word farm adventure","1481009631","2191"
"dragon gem","com.game.dragongem","2186"
"nextbots in backrooms: obunga","com.createammobile.nextbotsinbackrooms","2180"
"wood nuts: screw puzzle","com.ig.screw.puzzle.nuts.botls","2175"
"animal master: hardcore safari","animal.summon.master","2174"
"found it! hidden object game","games.urmobi.found.it","2174"
"com.easybrain.block.puzzle.games","com.easybrain.block.puzzle.games","2173"
"emf scanner","ygsap.electro.magnetic.field.scanner","2158"
"ana pocket 移動でポイ活！歩くとポイントが貯まる","us.ana_pocket.anapocket","2154"
""bloom"," meet singles. find love"","com.jaumo.prime","2152"
"dominoes","com.loopgames.domino","2150"
"woody 99 - sudoku block puzzle","athena.studio.woody.sudoku.block.puzzle.brain.training.mind.games.free.happy.offline","2140"
"crossword jam: fun word search","1269540854","2125"
"sudoku - classic sudoku puzzle","com.mathbrain.sudoku","2115"
"tile explorer - triple match","6498883328","2114"
"pet paradise - shop simulator","com.pet.shop.cl","2112"
"sudoku - brain puzzle games","1442749804","2110"
"focus online nachrichten","de.cellular.focus","2099"
"gold rush: frozen adventures","io.whitesharx.moon","2096"
"bitlife - life simulator","com.candywriter.bitlife","2093"
"8 ball pool","com.miniclip.eightballpool","2086"
